"","nameList","rating"
"2340","Michael Kohlmann",3.232
"1218","Jonathan Canter",3.232
"918","Fernando Vasquez",3.231
"1510","Eduardo Velez",3.229
"2916","Andre Ghem",3.228
"2899","Mischa Zverev",3.228
"2826","Uros Vico",3.228
"2024","Stephane Huet",3.226
"997","Pedro Rebolledo",3.226
"3134","Joao Souza",3.225
"1025","Edgar Schurmann",3.225
"260","Rafael Osuna",3.224
"3512","Evan King",3.224
"1564","Alberto Mancini",3.224
"719","Dimitru Haradau",3.223
"2441","Ben Qiang Zhu",3.223
"618","Ashok Amritraj",3.223
"1116","Pat Cash",3.222
"893","John Sadri",3.222
"3136","Albert Ramos",3.221
"2032","Keith Evans",3.221
"3446","Thiago Monteiro",3.221
"2829","Bobby Reynolds",3.22
"2230","Alberto Martin",3.22
"3388","Liam Broady",3.22
"3444","Omar Jasika",3.219
"186","Herb Fitzgibbon",3.218
"1255","Jorgen Windahl",3.218
"3514","Mitchell Krueger",3.218
"3192","Alessandro Giannessi",3.218
"958","Roland Steigler",3.218
"1863","Carsten Arriens",3.218
"1415","Bruno Oresar",3.217
"1140","Eduardo Bengoechea",3.217
"546","Bernard Mitton",3.217
"1584","Omar Camporese",3.217
"3207","Alexander Bury",3.217
"2387","Marko Tkalec",3.216
"377","Jiri Hrebec",3.216
"3241","James Duckworth",3.215
"3141","Alexander Sadecky",3.214
"2526","Bob Borella",3.214
"1242","Slobodan Zivojinovic",3.213
"3031","Brian Dabul",3.212
"2229","Bill Behrens",3.211
"2849","Michael Lammer",3.21
"953","Mike Harrington",3.21
"2136","Bohdan Ulihrach",3.21
"1828","Jacco Eltingh",3.21
"3374","Frederico Ferreira Silva",3.21
"2416","Fredrik Jonsson",3.209
"1484","Javier Sanchez",3.208
"3458","Nicolas Kicker",3.208
"3515","Stefano Travaglia",3.207
"3173","Hyun Joon Kim",3.207
"2976","Daniel Brands",3.207
"781","P Moore",3.206
"1501","Joey Blake",3.206
"2389","Febi Widhiyanto",3.206
"2650","Yanquiel Medina Sobrino",3.205
"1360","Peter Carlsson",3.204
"2022","Ross Matheson",3.204
"2817","Omar Hedayet",3.203
"3349","Ante Pavic",3.203
"2655","Luis Felipe Noriega",3.203
"1093","Mike Bauer",3.201
"34","Robert Lutz",3.2
"2576","Jean Julien Rojer",3.2
"1418","Steve Devries",3.199
"3507","Sebastian Ofner",3.199
"2085","Adrian Voinea",3.199
"3019","Josselin Ouanna",3.199
"3548","Nicola Kuhn",3.199
"1358","Craig Campbell",3.198
"1740","Renzo Furlan",3.198
"3353","Nikola Milojevic",3.198
"65","Jaime Fillol",3.198
"2491","Kristian Capalik",3.198
"3455","Marcus Willis",3.197
"2621","Sebastien De Chaunac",3.197
"1857","John Sullivan",3.196
"2677","Robert Kendrick",3.194
"1796","Mehl Ampon",3.194
"3540","Ricardo Ojeda Lara",3.194
"2101","Hendrik Jan Davids",3.193
"3579","Skyler Butts",3.192
"3568","Cristian Rodriguez",3.192
"3327","Andre Gaspar Murta",3.192
"201","Bob Giltinan",3.192
"1568","Sergio Ribeiro",3.191
"3244","Albano Olivetti",3.19
"2979","Augustin Gensse",3.19
"1033","Tim Mayotte",3.189
"2228","Ivan Ljubicic",3.189
"1394","Ronald Agenor",3.189
"1482","Jean Philippe Fleurian",3.189
"1386","Felix Barrientos",3.188
"2471","Kevin Kim",3.188
"2832","Lukas Dlouhy",3.188
"1835","Karol Kucera",3.187
"3492","Lloyd George Muirhead Harris",3.187
"1641","Scott Melville",3.186
"2828","Nathan Healey",3.186
"2779","Paul Capdeville",3.186
"2285","Salvador Navarro",3.186
"224","Jan Leschly",3.186
"3494","Joris De Loore",3.185
"2781","Caio Zampieri",3.185
"2336","Christian Vinck",3.185
"1436","Jaime Yzaga",3.184
"1610","Francisco Roig",3.184
"2065","Federico Mordegan",3.184
"621","Rolf Gehring",3.184
"111","Dennis Ralston",3.183
"1458","Jin Sun Yoo",3.183
"2609","David Ferrer",3.183
"2474","Michael Llodra",3.182
"3214","Soong Jae Cho",3.182
"2282","Jens Knippschild",3.182
"1650","Malivai Washington",3.181
"1573","Chris Bailey",3.181
"1487","Olivier Delaitre",3.18
"1339","Karel Novacek",3.18
"3451","Mathias Bourgue",3.179
"1425","Harald Rittersbacher",3.179
"3301","Mohamed Safwat",3.179
"2742","Juan Monaco",3.178
"1735","Dean Botha",3.178
"999","Thomas Hogstedt",3.177
"2500","Kalle Flygt",3.177
"2351","Harel Levy",3.177
"1403","Michael Robertson",3.177
"1079","John Benson",3.177
"2087","Wolfgang Schranz",3.177
"117","Jeff Borowiak",3.177
"382","Byron Bertram",3.176
"2936","Carlos Salamanca",3.175
"2066","Giorgio Galimberti",3.175
"827","Gilles Moretton",3.175
"1263","Ken Flach",3.174
"3185","Javier Marti",3.174
"1515","Igor Saric",3.174
"1398","Martin Hipp",3.174
"1859","Jamie Morgan",3.174
"2482","Guillermo Coria",3.174
"2848","Rainer Eitzinger",3.173
"4763","Patrick Galbraith",3.173
"2987","Peter Polansky",3.173
"5716","Duck Hee Lee",3.172
"1148","Danie Visser",3.171
"3498","Federico Gaio",3.171
"3303","Greg Jones",3.171
"2891","Carlos Berlocq",3.171
"3454","Ernesto Escobedo",3.171
"2739","Juan Pablo Guzman",3.17
"614","Trevor Little",3.169
"2965","Juan Pablo Brzezicki",3.169
"743","Bill Scanlon",3.169
"3218","Amir Weintraub",3.169
"473","Mike Machette",3.168
"1441","Massimiliano Narducci",3.168
"1310","Goran Prpic",3.167
"745","Paul Mcnamee",3.167
"1367","Kelly Jones",3.166
"114","Dick Stockton",3.166
"2333","Juan Balcells",3.166
"1968","Bing Chao Lin",3.166
"1592","Veli Paloheimo",3.165
"1597","Byron Black",3.165
"3298","Christian Garin",3.165
"1513","Eric Winogradsky",3.165
"1412","Christian Bergstrom",3.165
"1074","Regis Brunet",3.164
"1827","Maurice Ruah",3.164
"2187","Kim Tiilikainen",3.163
"3022","Thomaz Bellucci",3.163
"1823","Chuck Adams",3.162
"2748","Potito Starace",3.161
"576","Pato Rodriquez",3.161
"1356","Derrick Rostagno",3.161
"3039","Samuel Groth",3.16
"2470","Michael Russell",3.16
"3294","Rhyne Williams",3.158
"5288","Steven Korteling",3.158
"2012","Roberto Carretero",3.158
"5511","Guillermo Rivera Aranguiz",3.158
"2444","Jhonson Garcia",3.158
"3432","Peter Nagy",3.157
"2956","Fritz Wolmarans",3.157
"3077","Joshua Goodall",3.156
"469","Benjy Robins",3.156
"3032","Leonardo Mayer",3.155
"1905","Chris Wilkinson",3.155
"3270","Sanam Singh",3.155
"3557","Marc Andrea Huesler",3.154
"4221","Javier Roch",3.154
"1670","Ned Caswell",3.153
"2218","Gregory Carraz",3.153
"3029","Stephane Bohli",3.153
"2283","Michael Sell",3.152
"3123","Daniel Munoz De La Nava",3.151
"1262","Todd Nelson",3.149
"4","Allan Stone",3.149
"3937","J Bart",3.148
"1028","Chris Mayotte",3.147
"2702","Rohan Bopanna",3.147
"2222","Mose Navarra",3.147
"41","Marty Riessen",3.147
"372","William Brown",3.146
"2772","Melle Van Gemerden",3.146
"2237","Filippo Veglio",3.145
"2598","Janko Tipsarevic",3.145
"2606","Brian Vahaly",3.144
"1848","Daniel Vacek",3.144
"2538","Orest Tereshchuk",3.144
"4977","Adolf Musil",3.144
"562","Pat Dupre",3.144
"157","Teimuraz Kakoulia",3.143
"3168","Marcelo Arevalo",3.143
"580","Daniel Parun",3.143
"2417","Igor Kornienko",3.142
"4574","Corey Wittenberg",3.141
"1560","Chris Pridham",3.14
"2567","Ricardo Mello",3.14
"3142","Denis Kudla",3.139
"2799","Mikhail Filima",3.138
"2310","Konstantinos Economidis",3.138
"2961","Donald Young",3.137
"1539","Marcelo Filippini",3.137
"2869","Michal Przysiezny",3.137
"1846","Jonathan Stark",3.136
"2955","Izak Van Der Merwe",3.136
"2951","Blaz Kavcic",3.136
"3425","Joao Domingues",3.134
"3562","Ugo Humbert",3.134
"103","Paul Gerken",3.134
"1334","Dan Goldie",3.133
"1340","Horacio De La Pena",3.133
"1473","Ferrante Rocchi",3.133
"1440","Tore Meinecke",3.132
"2421","Gabriel Trifu",3.132
"2542","Robby Ginepri",3.132
"2021","Federico Sanchez",3.132
"748","Jan Norback",3.132
"3511","Miljan Zekic",3.131
"2084","Axel Finnberg",3.131
"1285","Armand Molino",3.131
"1495","Patrik Kuhnen",3.13
"388","Vijay Amritraj",3.13
"23","Graham Stilwell",3.13
"1469","Luiz Mattar",3.13
"4527","Francois Errard",3.13
"3542","Maximilian Marterer",3.13
"1871","Jan Apell",3.129
