"","nameList","rating"
"919","Brad Rowe",3.2266
"3292","Mohamed Safwat",3.2265
"3643","Ed Grubb",3.2262
"3567","Carlos Taberner",3.2259
"1782","Tim Donovan",3.2258
"1929","Karol Kucera",3.2258
"3213","Rogerio Dutra Silva",3.2257
"2977","Julio Cesar Campozano",3.2254
"2595","Jan Vacek",3.2252
"3184","Tim Smyczek",3.2247
"2995","Paolo Lorenzi",3.2235
"2981","Pavol Cervenak",3.2223
"2121","Wolfgang Schranz",3.2221
"2772","Paul Capdeville",3.2214
"2425","Juan Carlos Ferrero",3.2214
"2895","Jorge Aguilar",3.2211
"1961","Bing Chao Lin",3.221
"2570","Julian Knowle",3.2209
"3134","Petar Jelenic",3.2203
"578","Alexander Volkov",3.2193
"3415","Andrea Arnaboldi",3.2189
"1679","Scott Melville",3.2186
"2089","Oscar Martinez",3.2184
"764","S Hegna",3.2176
"2252","Dusan Vemic",3.2173
"912","Fernando Vasquez",3.2171
"3331","Peter Gojowczyk",3.217
"1630","Khalid Outaleb",3.2169
"3004","Steve Darcis",3.2167
"3032","Ruben Bemelmans",3.2164
"1078","Regis Brunet",3.2157
"1523","Tomas Carbonell",3.2156
"1189","Gabriel Auroux",3.2153
"2890","Rainer Eitzinger",3.2142
"1947","Chi Wan Kim",3.2139
"3606","Brayden Schnur",3.2139
"678","Victor Pecci",3.2131
"1793","Marcos Aurelio Gorriz",3.2129
"2597","Robby Ginepri",3.2126
"3328","Nils Langer",3.2124
"2106","Ville Liukko",3.2122
"2648","Sebastien De Chaunac",3.2122
"1206","Branko Horvat",3.212
"3066","Janez Semrajc",3.2114
"2578","Albert Montanes",3.2113
"2423","Michael Hill",3.2096
"3021","Alexander Kudryavtsev",3.2093
"1751","Jens Woehrmann",3.2086
"3234","Colin Fleming",3.2081
"3160","Daniel Munoz De La Nava",3.2077
"1585","Petr Korda",3.2073
"3548","Lorenzo Sonego",3.2066
"3075","Jean Claude Scherrer",3.2064
"2830","Melle Van Gemerden",3.2063
"1432","Leonardo Lavalle",3.2054
"2304","Martin Rodriguez",3.2053
"3358","Alejandro Gonzalez",3.2049
"1306","Peter Lundgren",3.2048
"3339","Ramkumar Ramanathan",3.2044
"3586","Alex Bolt",3.2036
"2629","Hee Seok Chung",3.2029
"1079","Pablo Arraya",3.2028
"1264","Richard Gallien",3.202
"252","Ashley Cooper",3.2019
"2072","Johan Van Herck",3.2013
"762","Heinz Gunthardt",3.2012
"1918","Daniel Vacek",3.2012
"2951","Stefano Ianni",3.2009
"3601","Alexei Popyrin",3.2006
"1519","Gustavo Luza",3.2005
"1571","Chris Bailey",3.1995
"2070","Lionel Barthez",3.1993
"2335","Andre Sa",3.1993
"1303","Ken Flach",3.1989
"2591","Janko Tipsarevic",3.1989
"2256","Daniele Balducci",3.198
"2632","Yanquiel Medina Sobrino",3.197
"1521","Igor Saric",3.1966
"2534","Bob Borella",3.1966
"5695","Laurent Lokoli",3.1965
"2658","Luis Felipe Noriega",3.1962
"3132","Dustin Brown",3.1957
"2444","Eduardo Nicolas",3.1956
"2226","Wayne Arthurs",3.1955
"797","Paul Mcnamee",3.1955
"1482","Peter Moraing",3.1954
"2067","Donald Johnson",3.1945
"3551","Zsombor Piros",3.1938
"1305","Eric Jelen",3.1937
"1605","Patrick Baur",3.1933
"1783","Mike Brown",3.1932
"1583","Branislav Stankovic",3.1928
"1568","Tom Nijssen",3.1925
"344","Rudy Hernando",3.1919
"3558","Skyler Butts",3.1917
"3549","Cristian Rodriguez",3.1917
"3307","Andre Gaspar Murta",3.1917
"2368","Marko Tkalec",3.1912
"2118","Giorgio Galimberti",3.1912
"1830","Jan Siemerink",3.1911
"5526","Josh Goodall",3.1909
"2822","Florent Serra",3.1899
"3236","Alessandro Giannessi",3.1898
"2266","Filippo Veglio",3.1897
"1948","Bartlomiej Dabrowski",3.1892
"1799","Ted Scherman",3.189
"1604","Richard Fromberg",3.189
"1002","Andy Kohlberg",3.1883
"5852","Maxime Janvier",3.1877
"1863","Jacco Eltingh",3.1874
"3087","Franco Ferreiro",3.1874
"1238","Ronnie Bathman",3.1869
"3494","Jan Satral",3.1865
"1580","Chris Pridham",3.1863
"3046","Ivan Sergeyev",3.1861
"637","Douglas Palm",3.1861
"1602","Nicklas Kroon",3.1857
"2678","Peter Luczak",3.1853
"3183","Alexander Sadecky",3.1852
"2522","Nikolay Davydenko",3.1849
"2458","Jamie Delgado",3.1847
"1119","Barry Moir",3.1847
"3500","Alexander Bublik",3.1845
"805","Eric Friedler",3.1839
"1421","Massimiliano Narducci",3.1833
"1098","Cliff Skakle",3.1832
"2261","Tommy Haas",3.1818
"3480","Ernesto Escobedo",3.181
"2965","Alun Jones",3.1805
"285","Anand Amritraj",3.1788
"1620","Umesha Wallooppillai",3.1775
"1555","Omar Camporese",3.1773
"1681","Tommy Ho",3.1772
"389","Byron Bertram",3.177
"1252","Armand Molino",3.177
"1406","Ronald Agenor",3.1768
"113","Marcello Lara",3.1763
"1984","Brian Macphie",3.176
"2400","Harel Levy",3.1758
"611","Greg Holmes",3.1754
"2669","Mario Radic",3.1752
"2602","Ruben Ramirez Hidalgo",3.1746
"3202","Soong Jae Cho",3.1736
"2946","Izak Van Der Merwe",3.1735
"1248","Simon Youl",3.1726
"2881","Scoville Jenkins",3.1724
"963","Lloyd Bourne",3.1718
"2537","Kristian Capalik",3.1713
"3340","Jiri Vesely",3.1702
"1208","Jairo Velasco Jr",3.1701
"1259","Srinivasan Vasudevan",3.17
"1761","Marc Rosset",3.1699
"3333","Andrej Martin",3.1698
"2084","Nicolas Lapentti",3.1695
"2947","Fritz Wolmarans",3.1694
"955","Damir Keretic",3.1694
"92","David Lloyd",3.1691
"2554","Jean Julien Rojer",3.1688
"3180","Blaz Rola",3.1684
"1759","Stefano Pescosolido",3.1683
"1560","Veli Paloheimo",3.1681
"1362","Glenn Layendecker",3.1677
"1829","Cedric Pioline",3.1666
"2962","Tobias Clemens",3.1664
"1225","Mike De Palmer",3.1656
"3517","Federico Gaio",3.1655
"966","Warrick Jones",3.1643
"3099","Tatsuma Ito",3.1643
"2835","Bobby Reynolds",3.164
"545","Pato Rodriquez",3.1636
"2232","Alberto Martin",3.1631
"3377","Ante Pavic",3.1629
"111","Dennis Ralston",3.1628
"1838","Stephane Grenier",3.1624
"3069","Somdev Devvarman",3.1623
"3545","Ricardo Ojeda Lara",3.1618
"866","Terry Rocavert",3.1615
"2129","Bill Barber",3.1614
"3054","Maximo Gonzalez",3.1611
"1776","Martin Sinner",3.161
"3996","Glenn Gerstmar",3.1605
"630","Trevor Little",3.1603
"713","Tim Gullikson",3.16
"3074","Carsten Ball",3.1594
"2438","Andreas Vinciguerra",3.1592
"3002","Simon Stadler",3.1587
"3013","Donald Young",3.158
"1968","Daniel Marco",3.1578
"3535","Miljan Zekic",3.1569
"759","Vadim Borisov",3.1563
"2145","Gaston Etlis",3.1562
"2538","Kevin Kim",3.1561
"3859","Vladimir Petrovic",3.155
"2040","Stephane Huet",3.1548
"5860","Scott Griekspoor",3.1545
"3593","Dominik Koepfer",3.1542
"1991","Marc Kevin Goellner",3.1541
"2794","Stephane Robert",3.1539
"4981","Sean Cole",3.1539
"4768","Mark Basham",3.1539
"2462","Jhonson Garcia",3.1538
"1401","Bong Soo Kim",3.1526
"2903","Santiago Giraldo",3.1525
"1854","Francisco Montana",3.1524
"2380","Febi Widhiyanto",3.1516
"3285","Emilio Gomez",3.1508
"1261","S Viljoen",3.1499
"492","Benjy Robins",3.1497
"1703","Kimmo Hurme",3.1495
"2372","Oscar Serrano",3.1494
"2825","Matias Boeker",3.1494
"2969","Jesse Levine",3.1494
"237","Vladimir Korotkov",3.1481
"1056","Mats Wilander",3.148
"571","Richard Lewis",3.1477
"4755","Marius Barnard",3.1469
"4564","Jose Antonio Garcia",3.1469
"2649","Alexander Waske",3.1468
"3572","Nicola Kuhn",3.1467
"1514","Joey Blake",3.1465
"1942","Jan Apell",3.1463
"677","Rolf Gehring",3.146
"1345","Kent Carlsson",3.1455
